Date,Expenditure   New South Wales   Copper   Total deposits ,"Expenditure   New South Wales   Silver, lead, zinc   Total deposits ","Expenditure   New South Wales   Nickel, cobalt   Total deposits ",Expenditure   New South Wales   Selected base metals total   Total deposits ,Expenditure   New South Wales   Gold   Total deposits ,Expenditure   New South Wales   Iron ore   Total deposits ,Expenditure   New South Wales   Mineral sands   Total deposits ,Expenditure   New South Wales   Uranium   Total deposits ,Expenditure   New South Wales   Coal   Total deposits ,Expenditure   New South Wales   Diamonds   Total deposits ,Expenditure   New South Wales   Other   Total deposits ,Expenditure   New South Wales   Total (List of Minerals)   Total deposits ,Expenditure   Victoria   Copper   Total deposits ,"Expenditure   Victoria   Silver, lead, zinc   Total deposits ","Expenditure   Victoria   Nickel, cobalt   Total deposits ",Expenditure   Victoria   Selected base metals total   Total deposits ,Expenditure   Victoria   Gold   Total deposits ,Expenditure   Victoria   Iron ore   Total deposits ,Expenditure   Victoria   Mineral sands   Total deposits ,Expenditure   Victoria   Uranium   Total deposits ,Expenditure   Victoria   Coal   Total deposits ,Expenditure   Victoria   Diamonds   Total deposits ,Expenditure   Victoria   Other   Total deposits ,Expenditure   Victoria   Total (List of Minerals)   Total deposits ,Expenditure   Queensland   Copper   Total deposits ,"Expenditure   Queensland   Silver, lead, zinc   Total deposits ","Expenditure   Queensland   Nickel, cobalt   Total deposits ",Expenditure   Queensland   Selected base metals total   Total deposits ,Expenditure   Queensland   Gold   Total deposits ,Expenditure   Queensland   Iron ore   Total deposits ,Expenditure   Queensland   Mineral sands   Total deposits ,Expenditure   Queensland   Uranium   Total deposits ,Expenditure   Queensland   Coal   Total deposits ,Expenditure   Queensland   Diamonds   Total deposits ,Expenditure   Queensland   Other   Total deposits ,Expenditure   Queensland   Total (List of Minerals)   Total deposits ,Expenditure   South Australia   Copper   Total deposits ,"Expenditure   South Australia   Silver, lead, zinc   Total deposits ","Expenditure   South Australia   Nickel, cobalt   Total deposits ",Expenditure   South Australia   Selected base metals total   Total deposits ,Expenditure   South Australia   Gold   Total deposits ,Expenditure   South Australia   Iron ore   Total deposits ,Expenditure   South Australia   Mineral sands   Total deposits ,Expenditure   South Australia   Uranium   Total deposits ,Expenditure   South Australia   Coal   Total deposits ,Expenditure   South Australia   Diamonds   Total deposits ,Expenditure   South Australia   Other   Total deposits ,Expenditure   South Australia   Total (List of Minerals)   Total deposits ,Expenditure   Western Australia   Copper   Total deposits ,"Expenditure   Western Australia   Silver, lead, zinc   Total deposits ","Expenditure   Western Australia   Nickel, cobalt   Total deposits ",Expenditure   Western Australia   Selected base metals total   Total deposits ,Expenditure   Western Australia   Gold   Total deposits ,Expenditure   Western Australia   Iron ore   Total deposits ,Expenditure   Western Australia   Mineral sands   Total deposits ,Expenditure   Western Australia   Uranium   Total deposits ,Expenditure   Western Australia   Coal   Total deposits ,Expenditure   Western Australia   Diamonds   Total deposits ,Expenditure   Western Australia   Other   Total deposits ,Expenditure   Western Australia   Total (List of Minerals)   Total deposits ,Expenditure   Tasmania   Copper   Total deposits ,"Expenditure   Tasmania   Silver, lead, zinc   Total deposits ","Expenditure   Tasmania   Nickel, cobalt   Total deposits ",Expenditure   Tasmania   Selected base metals total   Total deposits ,Expenditure   Tasmania   Gold   Total deposits ,Expenditure   Tasmania   Iron ore   Total deposits ,Expenditure   Tasmania   Mineral sands   Total deposits ,Expenditure   Tasmania   Uranium   Total deposits ,Expenditure   Tasmania   Coal   Total deposits ,Expenditure   Tasmania   Diamonds   Total deposits ,Expenditure   Tasmania   Other   Total deposits ,Expenditure   Tasmania   Total (List of Minerals)   Total deposits ,Expenditure   Northern Territory   Copper   Total deposits ,"Expenditure   Northern Territory   Silver, lead, zinc   Total deposits ","Expenditure   Northern Territory   Nickel, cobalt   Total deposits ",Expenditure   Northern Territory   Selected base metals total   Total deposits ,Expenditure   Northern Territory   Gold   Total deposits ,Expenditure   Northern Territory   Iron ore   Total deposits ,Expenditure   Northern Territory   Mineral sands   Total deposits ,Expenditure   Northern Territory   Uranium   Total deposits ,Expenditure   Northern Territory   Coal   Total deposits ,Expenditure   Northern Territory   Diamonds   Total deposits ,Expenditure   Northern Territory   Other   Total deposits ,Expenditure   Northern Territory   Total (List of Minerals)   Total deposits ,Expenditure   Australia   Copper   Total deposits ,"Expenditure   Australia   Silver, lead, zinc   Total deposits ","Expenditure   Australia   Nickel, cobalt   Total deposits ",Expenditure   Australia   Selected base metals total   Total deposits ,Expenditure   Australia   Gold   Total deposits ,Expenditure   Australia   Iron ore   Total deposits ,Expenditure   Australia   Mineral sands   Total deposits ,Expenditure   Australia   Uranium   Total deposits ,Expenditure   Australia   Coal   Total deposits ,Expenditure   Australia   Diamonds   Total deposits ,Expenditure   Australia   Other   Total deposits ,Expenditure   Australia   Total (List of Minerals)   Total deposits 
01/09/1988,,,,2.9,6.9,0.0,0.4,0.0,1.0,0.1,1.0,12.1,,,,0.1,4.5,0.0,0.3,0.0,0.0,0.0,0.2,5.1,,,,4.8,23.4,0.0,,,4.2,0.5,,35.3,,,,0.9,2.2,0.0,,,0.0,0.8,,4.6,,,,10.0,75.8,2.3,2.1,3.5,1.6,5.9,3.3,104.7,,,,0.8,1.1,0.0,0.0,0.0,0.0,0.0,0.2,2.5,,,,1.1,8.5,0.0,0.0,4.6,0.0,1.7,0.4,17.5,,,,20.6,122.4,2.4,3.8,8.9,6.9,9.1,7.8,181.9
01/12/1988,,,,4.2,7.8,0.0,0.8,0.0,1.3,0.0,0.8,15.7,,,,0.2,4.8,0.0,0.1,0.0,0.0,0.0,0.0,6.6,,,,6.5,22.5,0.0,0.3,0.5,4.2,0.0,0.9,36.0,,,,2.3,1.8,0.0,0.2,0.3,,,,6.5,,,,13.7,75.1,1.5,1.5,3.4,,,,106.3,,,,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,,,,0.9,13.5,0.0,0.0,5.4,0.0,0.7,0.3,21.1,,,,29.6,126.5,1.6,2.9,10.7,7.5,8.6,7.8,195.1
01/03/1989,,,,3.2,3.5,0.0,0.9,0.0,2.4,0.1,0.6,11.0,,,,0.2,2.2,0.0,,0.0,,,0.7,4.1,,,,9.2,18.0,0.4,0.4,0.3,1.3,,,32.0,,,,0.4,0.9,,0.3,,,0.5,0.2,3.0,,,,6.8,61.2,1.0,1.8,,0.8,4.7,,84.2,,,,1.0,1.5,,0.3,0.0,,0.0,0.4,3.4,,,,0.7,6.7,0.0,,1.9,0.0,0.8,,12.6,,,,23.3,94.3,1.5,3.8,4.1,6.2,6.5,10.7,150.4
01/06/1989,,,,2.6,4.0,0.0,1.4,,2.1,0.0,,11.8,,,,0.2,4.1,0.0,,,,,0.7,5.9,,,,9.4,18.5,0.2,0.6,0.2,2.4,,,36.5,,,,0.6,0.6,,0.4,0.2,,0.2,0.1,2.5,,,,8.9,64.4,1.4,2.8,2.8,1.1,6.4,4.2,92.0,,,,2.0,1.4,,0.3,0.0,,0.0,0.5,4.2,,,,0.9,12.6,0.0,,1.4,0.0,1.7,,17.4,,,,26.8,105.4,1.6,6.0,4.6,8.4,8.4,8.9,170.2
01/09/1989,,,,3.5,2.4,0.0,1.5,0.0,2.2,0.3,1.6,11.3,,,,0.1,4.4,0.0,,0.0,0.0,0.0,,5.2,,,,9.4,17.2,0.1,0.6,0.5,2.5,0.2,1.1,33.1,,,,1.1,0.3,,0.2,0.1,,0.3,0.1,2.3,,,,9.5,53.4,2.1,1.8,1.9,1.0,5.1,3.3,78.9,,,,1.3,1.3,,0.1,0.0,,0.0,0.4,3.2,,,,1.7,9.5,0.0,,3.4,0.0,1.6,,17.0,,,,26.8,88.7,2.2,4.7,5.9,8.5,7.5,6.5,150.8
01/12/1989,,,,3.7,2.4,0.0,1.2,0.0,3.7,,,13.2,,,,0.2,5.3,0.0,0.5,0.0,0.0,0.0,0.3,6.3,,,,10.8,19.2,,0.5,0.6,6.4,,1.0,38.6,,,,1.0,0.4,,0.5,0.5,,0.6,0.2,3.3,,,,8.9,55.3,3.1,1.6,1.6,0.8,6.7,2.8,80.9,,,,1.8,0.6,,,0.0,,0.0,0.8,3.3,,,,1.9,12.5,,,2.7,0.0,1.9,,19.4,,,,28.4,95.9,3.2,4.5,5.4,11.0,9.8,6.9,165.1
01/03/1990,,,,5.1,2.2,,1.6,0.0,3.6,0.6,,14.2,,,,0.2,3.4,0.0,0.6,0.0,,,0.3,4.9,,,,11.9,10.9,,0.6,0.7,4.0,,1.0,29.2,,,,0.9,0.3,,0.2,0.1,,0.4,0.3,2.2,,,,11.1,44.9,2.2,1.9,0.8,0.3,4.2,2.1,67.3,,,,1.6,0.6,,,0.0,,0.0,0.4,2.8,,,,1.3,5.7,0.0,,0.4,0.0,1.2,,8.9,,,,32.2,67.9,2.5,5.1,1.9,8.0,6.4,5.5,129.5
01/06/1990,,,,5.0,3.1,,1.8,0.0,2.6,0.5,,16.4,,,,0.8,3.4,0.0,,0.0,0.0,0.0,,4.5,,,,9.8,12.1,,0.5,,2.6,,0.8,27.6,,,,2.9,0.2,,0.3,,,1.1,0.2,5.3,,,,7.4,59.2,3.3,1.5,2.7,0.2,8.3,4.5,88.3,,,,1.6,0.7,,0.0,0.0,,0.0,0.2,2.5,,,,2.8,9.0,0.0,,2.4,0.0,,,17.4,,,,30.7,88.7,3.4,4.9,5.6,5.9,13.4,9.3,162.1
01/09/1990,,,,3.4,1.9,,1.3,0.0,2.1,0.9,,12.3,,,,0.5,1.4,0.0,0.7,0.0,0.0,,,3.0,,,,11.8,11.8,,0.5,,4.9,,1.6,30.8,,,,1.9,0.2,0.0,,,,0.8,0.1,3.8,,,,13.4,43.8,4.5,1.8,3.1,0.4,10.0,1.1,78.8,,,,1.1,0.4,,0.0,0.0,,0.0,0.1,1.7,,,,3.2,6.8,0.0,,1.3,0.0,2.1,,13.5,,,,35.1,67.0,4.5,4.8,5.0,7.4,13.8,6.2,143.7
01/12/1990,,,,7.5,2.6,,1.9,0.0,2.7,0.7,,18.0,,,,0.7,1.6,,,0.0,,,0.0,2.6,,,,16.5,15.2,,0.5,,2.8,,1.5,38.3,,,,1.8,0.1,0.0,1.0,,0.0,0.6,,4.0,,,,13.3,56.2,2.5,2.0,1.8,0.3,6.6,1.8,84.2,,,,1.9,0.5,,0.0,0.0,,0.0,0.6,3.1,,,,3.7,9.3,0.0,,1.6,0.0,1.8,,16.6,,,,45.6,87.4,2.5,5.6,3.5,6.0,9.7,6.4,166.8
